row_number,transction_year,transction_month,listing_province_name_en,listing_province_name_th,listing_district_name_th,listing_district_name_en,project_propertytype_name_th,project_propertytype_name_en,total_listing,median_asking_price_sqm
606,2019,7,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,62,149890
531,2020,12,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,35,117200
21,2020,8,BANGKOK,กรุงเทพมหานคร,บางเขน,BANG KHEN,คอนโด,Condo,34,63342
386,2020,12,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,18,61205
76,2019,8,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,51,152040
563,2021,6,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,11,235152
176,2021,5,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,15,203047
555,2020,8,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,32,83643
36,2019,8,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,11,78318
239,2019,2,BANGKOK,กรุงเทพมหานคร,ราชเทวี,RATCHATHEWI,คอนโด,Condo,50,192472
546,2019,11,BANGKOK,กรุงเทพมหานคร,วังทองหลาง,WANG THONGLANG,คอนโด,Condo,21,52878
272,2019,4,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,26,133766
538,2021,5,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,43,194812
295,2020,12,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,21,86391
475,2019,10,BANGKOK,กรุงเทพมหานคร,ธนบุรี,THON BURI,คอนโด,Condo,128,113113
258,2020,12,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,67,124104
556,2019,9,BANGKOK,กรุงเทพมหานคร,บางรัก,BANG RAK,คอนโด,Condo,47,128582
436,2019,10,BANGKOK,กรุงเทพมหานคร,บางพลัด,BANG PHLAT,คอนโด,Condo,60,121191
311,2019,7,BANGKOK,กรุงเทพมหานคร,ยานนาวา,YAN NAWA,คอนโด,Condo,14,124870
97,2019,11,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,42,131993
124,2019,5,BANGKOK,กรุงเทพมหานคร,ปทุมวัน,PATHUM WAN,คอนโด,Condo,63,167569
485,2019,11,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,155,139424
233,2019,2,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,15,119655
451,2020,12,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,18,142177
6,2019,9,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,31,72464
220,2021,4,BANGKOK,กรุงเทพมหานคร,จอมทอง,CHOM THONG,คอนโด,Condo,11,86230
291,2019,10,BANGKOK,กรุงเทพมหานคร,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,15,98566
350,2019,4,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,28,154109
389,2019,11,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,45,78693
130,2019,11,BANGKOK,กรุงเทพมหานคร,บางกะปิ,BANG KAPI,คอนโด,Condo,38,68407
476,2020,12,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,17,111105
422,2019,6,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,179,129669
360,2020,11,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,12,77195
285,2019,3,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,25,156343
197,2020,12,SAMUT PRAKAN,สมุทรปราการ,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,16,75893
260,2019,11,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,408,165279
508,2020,12,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,111,168942
183,2019,10,BANGKOK,กรุงเทพมหานคร,บางกอกใหญ่,BANGKOK YAI,คอนโด,Condo,13,117973
338,2020,12,BANGKOK,กรุงเทพมหานคร,สวนหลวง,SUAN LUANG,คอนโด,Condo,12,55631
599,2019,8,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,16,117452
387,2019,5,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,11,95266
196,2020,12,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,18,82114
77,2020,8,BANGKOK,กรุงเทพมหานคร,ดินแดง,DIN DAENG,คอนโด,Condo,40,109563
592,2019,3,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,11,122594
170,2019,1,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,43,143804
506,2019,1,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,61,138526
155,2020,12,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,57,143311
331,2019,4,BANGKOK,กรุงเทพมหานคร,ประเวศ,PRAWET,คอนโด,Condo,13,61057
449,2019,11,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,1211,168379
549,2019,11,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,208,150817
379,2019,4,BANGKOK,กรุงเทพมหานคร,สาทร,SATHON,คอนโด,Condo,18,127344
223,2019,11,BANGKOK,กรุงเทพมหานคร,พระโขนง,PHRA KHANONG,คอนโด,Condo,228,113942
371,2020,12,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,13,211356
609,2019,11,BANGKOK,กรุงเทพมหานคร,สายไหม,SAI MAI,ทาวน์โฮม,Townhome,17,32588
408,2020,8,BANGKOK,กรุงเทพมหานคร,จตุจักร,CHATUCHAK,คอนโด,Condo,11,107178
10,2020,12,BANGKOK,กรุงเทพมหานคร,คลองเตย,KHLONG TOEI,คอนโด,Condo,25,129514
299,2019,4,BANGKOK,กรุงเทพมหานคร,วัฒนา,VADHANA,คอนโด,Condo,109,130499
159,2019,6,BANGKOK,กรุงเทพมหานคร,คลองสาน,KHLONG SAN,คอนโด,Condo,152,122693
463,2020,2,BANGKOK,กรุงเทพมหานคร,บางซื่อ,BANG SUE,คอนโด,Condo,11,88113
